Title,Author,Quantity,Genre
A Novel of Pearl Harbor,Harry Mazer,2,Literature
A Picture Book of Abraham Lincoln,David A. Adler,3,General Knowledge
A Picture Book of christopher Colombus,David A. Adler,1,General Knowledge
a picture book of christopher columbus,david adler,1,General Knowledge
A Picture Book of Davy Crockett,David A. Adler,1,General Knowledge
A Picture Book of George Washington,David A. Adler,1,General Knowledge
A Picture Book of John F. Kennedy,David A. Adler,1,General Knowledge
A Pizza the Size of the Sun,Jack Prelutsky,1,General Knowledge
A pocket for corduroy,Dontreeman,1,General Knowledge
A Pocket Full of Kisses,Audrey Penn,1,General Knowledge
A Pocket Full of Kisses,Audry Penn,1,General Knowledge
"A Poison Apple Book, Curiosity Killed the Cat",Sierra Harimann,1,General Knowledge
"A Poison Apple Book, Her Evil Twin",Mimi McCoy,3,General Knowledge
A pony for a princess,Andrea Posner-Sanchez,1,General Knowledge
A promise at the Alamo,"Dorothy Hobbler, Thomas Hobbler",1,General Knowledge
"A Promise at the Alamo, The Story of a Texan Girl","Thomas and Dorothy Hoobler, Carey-Greenberg Associates",1,Literature
a promising day,sr baecker,1,General Knowledge
A Raft Of Sea Otters,Vicki León,1,General Knowledge
"A Raft of Sea Otters, An Affectionate Portrait",Vicki Leon,1,General Knowledge
A Rainbow of My Own,Don Treeman,1,General Knowledge
a read alound story noahs big boat,ella lindball,1,Literature
A Really Popular Girl,Kathryn Ewing,1,General Knowledge
A Reward For Josefina,Valerie Tripp,1,General Knowledge
A Rootin' Tootin' Cowgirl,M.L. Dunham,1,General Knowledge
A Season of Gifts,Richard Peck,1,General Knowledge
a series of of unfortunate events the ersatz elevator,lemony snicket,2,General Knowledge
"A Series of Unfortnuate Events, The Carnivorous Carnival",Lemony Snicket,1,General Knowledge
a series of unfortunate events,lemony snicket,1,General Knowledge
A Series of Unfortunate Events - The Bad Beginning,Lemony Snicket,1,General Knowledge
A Series of Unfortunate Events - The Grim Grotto,Lemony Snicket,1,General Knowledge
A Series of Unfortunate Events - The Slippery Slope,Lemony Snicket,1,General Knowledge
