Title,Author,Quantity,Genre
"Funny, Funny Lyle",Bernard Waber,1,General Knowledge
Garfield Beefs Up,Jim Davis,1,General Knowledge
Gathering Blue,Lois Lowry,2,General Knowledge
Gecko Hide and Seek,Gill McBarnet,1,General Knowledge
Gentle Ben,Walt Morey,2,General Knowledge
George and Martha Back in Town,James Marshall,1,Arts and Recreation
George Eastman,Susan Bivin Aller,1,General Knowledge
George Marvellous Medicine,Roald Dahl,1,General Knowledge
George Shrinks,William Joyce,1,General Knowledge
George Washington,Marian Leighton,1,General Knowledge
George Washington: Our First Leader,Augusta Stevenson,1,General Knowledge
George's Marvelous Medicine,Roald Dahl,1,General Knowledge
Georges secret key to the universe,lucy and stephen hawking,1,General Knowledge
Geraldine's Big Snow,Holly Keller,1,General Knowledge
Geraldines Big Snow,Holly Keller,3,General Knowledge
Gerbilitis,Stephannie Spinner and Ellen Weiss,1,General Knowledge
Germs! Germs! Germs!,Bobbi Katz,1,General Knowledge
geronimo stilton valentine's day disaster,geronimo stilton,2,General Knowledge
"Geronimo Stilton, The Mysterious Cheese Thief",Elisabetta Dami,1,General Knowledge
"Geronimo Stilton,Lost Treasure of the Emerald Eye",Elisabetta Dami,1,General Knowledge
"Geronoimo Stilton merry Christmas, Geronimo!",Elisabeth Dami,1,General Knowledge
Get Down to Earth! What You Can Do to Stop Global Warming,Laurie David & Cambria Gordon,2,Arts and Recreation
get out of bed,alan and lea daniel,1,General Knowledge
Get Out of Bed!,Robert Munsch,1,General Knowledge
get readt for second grade,amber brown,1,General Knowledge
get to work trucks,don carter,1,General Knowledge
Getting to Know Nature's Children: Deer,Laima Dingwall,1,General Knowledge
"Getting to Know... Nature's Children,  River Otters & Red Fox",Laima Dingwall,1,General Knowledge
"Getting to Know... Nature's Children, Bighorn Sheep & Prairie Dogs",Bill Ivy,1,General Knowledge
"Getting to Know... Nature's Children, Canada Geese & Hippopotamuses",Judy Ross,1,General Knowledge
"Getting to Know... Nature's Children, Chimpanzees and Lizards",Caroline Greenland,1,General Knowledge
"Getting to Know... Nature's Children, Chipmunks & Beavers",Merebeth Switzer,1,General Knowledge
"Getting to Know... Nature's Children, Cougars & Eagles",Katherine Grier,1,General Knowledge
"Getting to Know... Nature's Children, Coyotes & Spiders",Caroline Greenland,1,General Knowledge
"Getting to Know... Nature's Children, Crocodiles & Kangaroos",Peter Carver,1,General Knowledge
"Getting to Know... Nature's Children, Deer & Rabbits",Laima Dingwall,1,General Knowledge
"Getting to Know... Nature's Children, Koalas & Cheetahs",Elizabeth MacLeod,1,General Knowledge
"Getting to Know... Nature's Children, Leaopards & Parrots",Shelia Dalton,1,General Knowledge
"Getting to Know... Nature's Children, Lions & Pandas",Elizabeth MacLeod,1,General Knowledge
"Getting to Know... Nature's Children, Loons & Black Bears",Judy Ross,1,General Knowledge
"Getting to Know... Nature's Children, Lynx & Sea Lions",Merebeth Switzer,1,General Knowledge
"Getting to Know... Nature's Children, Monarch Butterfly's & Walruses",Bill Ivy,1,General Knowledge
"Getting to Know... Nature's Children, Moose & Owls",Judy Ross,1,General Knowledge
"Getting to Know... Nature's Children, Orangutans & Gazelles",Shelia Dalton,1,General Knowledge
"Getting to Know... Nature's Children, Pelicans & Snakes",Candace Savage,1,General Knowledge
"Getting to Know... Nature's Children, Penguins & Elephants",Merebeth Switzer,1,General Knowledge
"Getting to Know... Nature's Children, Polar Bears & Skunks",Caroline Greenland,1,General Knowledge
"Getting to Know... Nature's Children, Porcupines & Grizzly Bears",Laima Dingwall,1,General Knowledge
"Getting to Know... Nature's Children, Puffins & Old World Monkeys",Elizabeth MacLeod,1,General Knowledge
"Getting to Know... Nature's Children, Seals & Mice",Merebeth Switzer,1,General Knowledge
"Getting to Know... Nature's Children, Squirrels & Frogs",George Peck,1,General Knowledge
"Getting to Know... Nature's Children, Tigers & Giraffes",Bill Ivy,1,General Knowledge
"Getting to Know... Nature's Children, Turtles & Bees",Merebeth Switzer,1,General Knowledge
"Getting to Know... Nature's Children, Wolves & Whales",Judy Ross,1,General Knowledge
"Getting to Know... Nature's Children, Zebras & Rhinoceros",Bill Ivy,1,General Knowledge
Ghost Boy,Iain Lawrence,2,General Knowledge
Ghost Canoe,Will Hobbs,1,General Knowledge
Ghost Host,Marilyn Singer,1,General Knowledge
ghost light on graveyard shoal,elizabeth jones,1,General Knowledge
Ghost Town at Sundown,Mary Pope Osborne,2,General Knowledge
"Ghost, Track: Book 1",Jason Reynolds,1,General Knowledge
Ghosts Don't Eat Potato Chips,Debbie Dadey,2,General Knowledge
Ghosts Don't Eat Potato Chips,Debbie Dadey and Marcia Thornton Jones,1,General Knowledge
Ghosts of Fear Street,R. L. Stine,1,General Knowledge
Ghosts of Fear Street - The Ooze,R. L. Stine,1,General Knowledge
Ghosts of the 20th Century,Cheryl Harness,1,General Knowledge
giant pandas,karen dudley,1,General Knowledge
giants dont go snowboarding,debbie dabey,1,General Knowledge
"giggle, giggle, quack",doreen cornin,2,General Knowledge
gilberto and the wind,marie hall ets,1,General Knowledge
Ginger Pye,Eleanor Estes,2,General Knowledge
gink and pearl,kay ghorao,1,General Knowledge
girls of many lands ireland,siobhan parkinson,1,General Knowledge
Girls to the Rescue,Bruce Lansky,1,General Knowledge
Girls Who Rocked the World 2,Michelle Roehm,1,General Knowledge
"Give Me a Sign, helen Keller!",Peter and Connie Roop,1,General Knowledge
Give Yourself Goosebumps,R.L. Stine,1,General Knowledge
Give Yourself Goosebumps #17 Little Comic Shop of Horrors,R.L. Stine,3,General Knowledge
Giving Thanks,Chief Jake Swamp,1,General Knowledge
Giving Thanks,Kate Waters,1,General Knowledge
Global Space Programs,Isaac Asimov,1,Science
Glow In The Dark Constellations,C.E. Thompson,1,General Knowledge
"Go Big or Go Home, A Novel",Will Hobbs,1,Literature
go dog go,p.d. eastman,1,General Knowledge
go fly a kite,claire owen,1,General Knowledge
"Go, Go America",Dan Yaccarino,1,General Knowledge
"Go, Thomas, Go!",Thomas & Friends,1,General Knowledge
God Bless My Friends,Hannah C. Hall,1,Religion
God Gave Us You,Lisa Tawn Bergren,1,Religion
God Says I Am,Laura Derico,3,Religion
God's Little Devotional Book for Teens,Honor Books,1,Religion
God's Wisdom for Little Girls,Elizabeth George,1,Religion
Godzilla Ate my Homework,Marcia Thorton Jones,1,Religion
Goggles!,Ezra Jack Keats,3,General Knowledge
Going Solo,Roald Dahl,1,General Knowledge
Golden Numbers,David Domeniconi,1,General Knowledge
gond an endangered animal alphabet,david mclimans,1,Science
Gone-Away Camp,Elizabeth Enright,1,General Knowledge
Good Dog!,Bob Balaban,1,General Knowledge
good driving amelia bendelia,herman parish,1,General Knowledge
"Good Driving, Amelia Bedelia",Herman Parish,1,General Knowledge
Good Families Don't,Robert Munsch & Alan Daniel,1,General Knowledge
Good Families Don’t,Robert Munsch,1,General Knowledge
good hight baby bear,frank asch,1,General Knowledge
Good Night God,Holly Bea,1,Religion
"Good Night, Maman",Norma Fox Mazer,1,General Knowledge
"Good Night, Mr. Tom",Michelle Magorian,1,General Knowledge
good work amelia bedelia,peddy parish,1,General Knowledge
Good work amelia bedelia,peggy parish,1,General Knowledge
Goodnight Kiss,R. L. Stine,1,General Knowledge
Goodnight Moon,Margaret Wise Brown,2,General Knowledge
Goody Hall,Natalie Babitt,1,General Knowledge
Goosebumps,R.L. Stine,2,General Knowledge
Goosebumps - Chicken Chicken,R. L. Stine,1,General Knowledge
Goosebumps - Deep Trouble II,R.L. Stine,1,General Knowledge
Goosebumps - Horrorland,R. L. Stine,1,General Knowledge
Goosebumps - Legend of the Lost Legend,R. L. Stine,1,General Knowledge
Goosebumps - Monster Blood II,R. L. Stine,1,General Knowledge
Goosebumps - The Curse of The Creeping Coffin,R. L. Stine,1,General Knowledge
Goosebumps - The Headless Ghost,R. L. Stine,1,General Knowledge
Goosebumps - The Scream of the Haunted Mask,R.L. Stine,1,General Knowledge
Goosebumps - Welcome to Camp Nightmare,R. L. Stine,1,General Knowledge
Goosebumps - Zombie School,R. L. Stine,1,General Knowledge
Goosebumps HorrorLand,R.L. Stine,2,General Knowledge
Goosebumps Horrorland - Escape from Horrorland,R. L. Stine,1,General Knowledge
Goosebumps HorrorLand: Little Shop of Hamsters,R. L. Stine,1,General Knowledge
Goosebumps horrorLand: When the Ghost Dog Howls,R.L. Steine,1,General Knowledge
Goosebumps Night of the Living Dummy III,R.L. Stine,1,General Knowledge
goosebumps special edition 3,R l stine,1,General Knowledge
"Goosebumps, Return of the Mummy",R.L. Stine,1,General Knowledge
"Goosebumps, The Haunted Mask ii",R.L. Stine,1,General Knowledge
"Goosebumps, The Haunted School",R.L. Stine,3,General Knowledge
"Goosebumps, Welcome to Camp Nightmare",R.L. Stine,1,General Knowledge
Goosebumps: Attack of the Mutant,R. L. Stine,1,General Knowledge
Goosebumps: Go Eat Worms!,R. L. Stine,1,General Knowledge
Goosebumps: How I learned to fly,How I learned To Fly,1,General Knowledge
Goosebumps: Let’s Get Invisible!,R. L. Stine,1,General Knowledge
Goosebumps: The Girl Who Cried Monster,R. L. Stine,1,General Knowledge
Goosebumps: The Horror at Camp Jellyjam,R. L. Stine,1,General Knowledge
Goosebumps: You Can’t Scare Me!,R.L. Stine,1,General Knowledge
Goosebumps:Monster Blood III,R.L. Stine,1,General Knowledge
goosebymps horrorland,r.l stine,1,General Knowledge
Goosed!,Bill Wallace,1,General Knowledge
Gordon Goes Camping,Julie Brinckloe,1,General Knowledge
gorillas,helen frost,1,General Knowledge
graces letter to lincoln,peter and connie roop,1,General Knowledge
Graduation Day is Here,Grace Maccarone,1,General Knowledge
Grandpa,Jhon Burningham,1,General Knowledge
Grandpa and Me,Eloise Jarvis McGraw,1,General Knowledge
Grandpa's Face,Eloise Greenfield,3,General Knowledge
Grandpa's Teeth,Rob Clement,1,General Knowledge
Granny Torelli Makes Soup,Sharon Creech,1,General Knowledge
Grasshopper on the Road,Arnold Lobel,1,General Knowledge
Graven Images,Paul Fleischman,1,General Knowledge
"Great American Muscle Cars, Cobras",Eric Ethan,1,General Knowledge
"Great Illustrated Classics, Gulliver's Travels",Jonathan Swift,1,General Knowledge
"Great Illustrated Classics, The Jungle Book",Rudyard Kipling,1,General Knowledge
"Great Illustrated Classics,The Secret Garden",Frances Hodgson Burnett,1,General Knowledge
"Great Illustrated Comics, Captain Courageous",Rudyard Kipling,3,General Knowledge
"Great Illustrated Comics, David Copperfield",Charles Dickens,3,General Knowledge
"Great Illustrated Comics, The Three Musketeers",Alexandre Dumas,3,General Knowledge
Great Inventions,Philip Koslow,1,General Knowledge
great tales from long ago pocahontas,jan gleiter,1,Literature
Great-Uncle Dracula,Jayne Harvey,1,General Knowledge
Green Egg's and Ham,Dr. Seuss,2,General Knowledge
Green eggs and ham,Dr. Seuss,4,General Knowledge
Green Princess Saves the Day,Alyssa Crowne,1,General Knowledge
green wilma,tedd arnold,1,General Knowledge
Gregor and the Curse of the Warmbloods,Suzanne Collins,2,General Knowledge
Gregor and the Prophecy of Bane,Suzanne Collins,2,General Knowledge
Gregor the Overlander,Suzanne Collins,1,General Knowledge
"Gregory, the Terrible Eater",Mitchell Sharmal,1,General Knowledge
"Gregory, the Terrible Eater",Mitchell Sharmat,2,General Knowledge
Grimm's Fairy Tales,Roy Nemerson,1,Literature
Grizzly!,Allen B. Ury,1,General Knowledge
Grody's Not So Golden Rules,Nicole Rubel,1,General Knowledge
Groundbreakers: Albert Einstein,Struan Reid,1,General Knowledge
Grover Sleeps Over,Elizabeth Winthrop,1,General Knowledge
growing up against the odds,bernard stonehouse,1,General Knowledge
Growing Up Alone,Bernard Stonehouse,1,General Knowledge
growing up in ancient greece,chris chelepi,1,History and Geography
Growing up in Ancient Rome,Mike Corbishley,1,History and Geography
growing up indian,evelyn wolfson,1,General Knowledge
Growing Up Protected,Bernard Stonehouse,1,General Knowledge
growing vegetable soup,lois ehlert,1,General Knowledge
growl a book about bears,melvin berger,1,General Knowledge
Gruesome Grub and Disgusting Dishes,Susan Martineau,1,General Knowledge
Gtting To know Nature's Children Chipmunks,Merebeth Switzer,1,General Knowledge
Guests,Michael Dorris,2,General Knowledge
guide to the bible,the christian girls,1,Philosophy and Psychology
Guiness World Records,Scholastic,1,General Knowledge
Guinness World Records,Scholastic,2,General Knowledge
"Guinness World Records, Amazing School Records, Special Student Edition",Ryan Herndon,1,General Knowledge
Guinness World Records: Deadly Disasters,Guinness World Records,1,General Knowledge
gullivers travels,JONATHAN SWIFT,1,General Knowledge
Gus the Greedy Puppy,Jenny Dale,3,General Knowledge
Guts,Gary Paulson,1,General Knowledge
Guy Time,Sarah Weeks,1,General Knowledge
"Hail, Holy Queen",Piera Paltro,1,General Knowledge
Hailstones and Halibut Bones,Mary O'Neill,1,General Knowledge
Half Magic,Edward Eager,2,Arts and Recreation
Half-Moon Investigations,Eoin Colfer,1,General Knowledge
Halloween Fraidy-Cat,Abby Klein,1,General Knowledge
Halloween Night,R.L. Stine,1,General Knowledge
Halloween with Morris and Boris,Bernard Wiseman,3,General Knowledge
Halmoni's Day,Edna Coe Bercaw,1,General Knowledge
Hamster Chase,Ezra Jack Keats,1,General Knowledge
Hamster Chase,Unassigned,1,General Knowledge
Hands-On Grossology,Sylvia Branzei,1,General Knowledge
Handy Manny,Leap Frog,1,General Knowledge
"Hang a Thousand Trees with Ribbons, The Story of Phillis Wheatley",Ann Rinaldi,1,Literature
hank zipzer I got a d in salami,henry winkler,1,General Knowledge
"Hank Zipzer, The World's Greatest Underacheiver, Barfing in the Backseat, How I Survived My Family Road Trip",Henry Winkler & Lin Oliver,1,General Knowledge
"Hank Zipzer, The World's Greatest Underacheiver, Day of the Iguana",Henry Winkler & Lin Oliver,1,General Knowledge
Hank Zipzer: Dump Trucks and Dog Sleds,Henry Winkler & Lin Oliver,1,General Knowledge
Hank Zipzer: I Got a “D” in Salami,Henry Winkler & Lin Oliver,1,General Knowledge
Hank Zipzer: The Zippity Zinger,Henry Winkler & Lin Oliver,1,General Knowledge
Hank Zipzer: What Genius Thought That Up?,Henry Winkler & Lin Oliver,1,General Knowledge
Hansel and Diesel,David Gordon,3,General Knowledge
hansel and gretel,paul zelinsky,2,General Knowledge
Hansel and Gretel,Susan Jeffers,1,General Knowledge
Hanted Castle on Hallows Eve,Mary Pope Osborne,1,General Knowledge
Happily After All,Laura C. Stevenson,1,General Knowledge
Happy Birthday Martin Luther King,Jean Marzollo,1,Arts and Recreation
"Happy Birthday, Felicity!",Valerie Tripp,1,General Knowledge
"Happy Birthday, Josefina!",Valerie Tripp,1,General Knowledge
"Happy Birthday, Kit!",Valerie Tripp,2,General Knowledge
"Happy Birthday, Samantha!",Valerie Tripp,1,General Knowledge
"Happy Birthday,Moon",Frank Asch,1,General Knowledge
Happy Easter Little Critter,Mercer Mayer,1,General Knowledge
Hard Drive to Short,Matt Christopher,2,General Knowledge
Hardy Boys Terror on Track,Franklin W. Dixon,1,General Knowledge
Harold and the Purple Crayon,Crockett Johnson,2,General Knowledge
Harold and the Purple Crayon - Under the Sea,Festival Readers,1,General Knowledge
Harold's Circus,Crockett Johnson,1,General Knowledge
Harriet the Spy,Louise Fitzhugh,1,General Knowledge
Harriet Tubman,Maryann N. Weidt,2,General Knowledge
Harriet's Hare,Dick King-Smith,3,General Knowledge
Harriett Tubman and Black History Month,Polly Carter,1,Literature
Harris and Me,Gary Paulsen,1,General Knowledge
Harry and the Lady Next Door,Gene Zion,2,General Knowledge
Harry By the Sea,Gene Zion,1,General Knowledge
"Harry S. Truman, Thirty Third Presdeitn of the United States",George E. Stanley,1,General Knowledge
Harry the Dirty Dog,Gene Zion,1,General Knowledge
harry the firty dog,gene zion,1,General Knowledge
Harry the Homeless Puppy,Holly Webb,1,General Knowledge
Hatchet,Gary Paulsen,3,General Knowledge
Hatchet Gary Paulsen,Gary Paulsen,1,General Knowledge
Hate That Cat,Sharon Creech,10,General Knowledge
Hattie and the Fox,Mem Fox,1,General Knowledge
Hattie and the Wild Waves,Barbara Cooney,1,General Knowledge
Hattle on her Way,Clara Gillow Clark,1,General Knowledge
Hauntng at the Home Plate,David Patneaude,2,General Knowledge
"Have No Fear, Chuckie's Here!",Sarah Willson,1,General Knowledge
Have you seen Birds?,Joanne Oppenheim,1,General Knowledge
Have You Seen Bugs?,Joanne Oppenheim,1,General Knowledge
Have you Seen My Duckling,Nancy Tafuri,1,General Knowledge
"Hawk, I'm Your Brother",Byrd Baylor,1,General Knowledge
"Hawk, I’m Your Brother",Betsy Byars,1,General Knowledge
Hayley the Rain Fairy,Daisy Meadows,1,General Knowledge
"Hear No Evil, Missing!",Kate Chester,1,General Knowledge
Heart of a Champion,Carl Deuker,1,Arts and Recreation
Heart of a Shephard,Rosanne Parry,1,Arts and Recreation
Heart of Steele,Brad Strickland and Thomas E. Fuller,1,Arts and Recreation
heart the wolves,Victoria Scott,1,Arts and Recreation
Heartbeat,Sharon Creech,1,Arts and Recreation
Heartland,Lauren Brooke,1,Arts and Recreation
Heartland: One Day You'll Know,Lauren Brooke,1,Arts and Recreation
Heat,Mle Lupica,1,General Knowledge
heaven is for real,todd burpo,1,General Knowledge
Hedge Loves to Read,Jan Brett,1,General Knowledge
Hedgehog Haven,Deborah Dennard,1,General Knowledge
hedgie's surprise,jan brett,1,General Knowledge
Heidi,Johanna Spryi,1,General Knowledge
Helen Keller,George Sullivan,1,General Knowledge
Helen Keller's Teacher,Margaret Davidson,1,General Knowledge
hellen kellen,margaret davidson,1,General Knowledge
Hellen Keller,Margaret Davidson,1,General Knowledge
hello tree!,joanne ryder,1,General Knowledge
"Hello, Cat, you Need a Hat",Dana Regan,1,General Knowledge
Help,Nancy Holyoke,1,General Knowledge
Help! I'm a Prisoner in the Library,Eth Clifford,2,General Knowledge
Help! I'm a Prisoner in the Library!,Eth Clifford,1,General Knowledge
Help! I'm Trapped in an Alien's Body,Todd Strasser,1,General Knowledge
Help! I'm Trapped in my Principal's Body,Todd Strasser,1,General Knowledge
Help! I'm Trapped in Obedience School,Todd Strasser,1,General Knowledge
Help! I'm Trapped in the First Day of School,Todd Strasser,1,General Knowledge
Helping Paws Dogs that Serve,Melinda Luke,1,General Knowledge
Henny Penny,Paul Galdone,1,General Knowledge
Henry And Mudge And the Best Day of All,Cynthia Rylant,1,General Knowledge
Henry And Mudge and the Funny Lunch,Cynthia Rylant,1,General Knowledge
Henry and Mudge in Puddle Trouble,Cynthia Rylant,2,General Knowledge
Henry and Mudge take the Big Test,Cynthia Rylant,1,General Knowledge
henry and mudge the first book,cynthis rylant,1,General Knowledge
Henry and Ribsy,Beverly Cleary,2,General Knowledge
Henry and the Clubhouse,Beverly Cleary,2,General Knowledge
Henry Huggins,Beverly Clearly,1,General Knowledge
Henry Huggins,Beverly Cleary,3,General Knowledge
henrys freedom box,ellen levine,1,General Knowledge
heodore Roosevelt: Conservation President,Susan Destefano,1,General Knowledge
her evil twin,mimi mccoy,1,General Knowledge
Herbie Jones and the Monster Ball,Suzy Kline,1,General Knowledge
Here comes the holidays,David Wenzel,1,General Knowledge
Here Today,Ann M. Martin,2,General Knowledge
"Here's to You, Racheal Robinson",Judy Blume,1,General Knowledge
"Here's to You, Rachel Robinson",Judy Blume,1,General Knowledge
heres to you rachel robinson,judy blume,2,General Knowledge
Heroes & Monsters of Greek Myth,Bernard Evslin,1,General Knowledge
Heroes Don't Run,Harry Mazer,1,General Knowledge
Heroes Don’t Run,Anne Mazer,2,General Knowledge
Heroes of America Illustrated Lives Clara Barton and the American Red Cross,Eve Marko,1,Arts and Recreation
"Hey, Little Ant","Phillip Hoose, Hannah Hoose",1,General Knowledge
Hide and Seek,Ida Vos,2,General Knowledge
Hide and Seek (Spy X),Peter Lerangis,1,General Knowledge
Hideaway Hollow,Donna Gamache,1,General Knowledge
High Hopes for Addy,Connie Porter,1,General Knowledge
High School Musical 2,"Peter Barsocchini, N.B. Grace",1,Arts and Recreation
hildilid's night,cheli durán ryan,1,General Knowledge
Hildilids Night,Cheli Duran Ryan,1,General Knowledge
Hippo Lemonade,Mike Thaler,3,General Knowledge
historic places of early america,"David m brownstone, irene m franck",1,General Knowledge
History mystery,Janelle Cherrington,1,Literature
History of the House of Representatives,George B. Galloway,1,Literature
"History of the World, Civilizationhs of the Middle East",Steck-Vaughn,1,Literature
Hitty: Her First Hundred Years,Rachel Field,1,General Knowledge
Hocus and Pocus at the Circus,Fran Manushkin,3,General Knowledge
Holes,Louis Sachar,4,General Knowledge
holiday jokes,rebecca magruder,1,General Knowledge
holly ithe christmas fairy,daisy meadow,1,General Knowledge
holly its christmas fairy,daisy meadow,1,General Knowledge
Holy Enchilada!,Henry Winkler,2,General Knowledge
"Home Sweet Home, Goodbye",Cynthia Stowe,1,General Knowledge
Homecoming,Cynthia Voigt,1,General Knowledge
Homeless,Laureie Halse Anderson,1,General Knowledge
Homeless Bird,Gloria Whelan,2,General Knowledge
Homer Price,Robert McCloskey,1,General Knowledge
Homes around the World ABC,Amanda Doering,1,General Knowledge
"Homesick, My Own Story",Jean Fritz,2,Literature
Honey...Honey...Lion!,Jan Brett,1,General Knowledge
Honk the Moose,Phil Stong,1,General Knowledge
Honus & Me,Dan Gutman,2,General Knowledge
honus and me,dan gutman,3,General Knowledge
Hoofbaeat's of Danger,Hollly Hughs,1,General Knowledge
Hoofbeats of Danger,Holly Hughes,1,General Knowledge
Hoofbeats of Danger (American Girl),Holly Hughes,1,General Knowledge
Hooray for School! Going to School with Nick Jr.,Brooke Lindner,1,General Knowledge
HOOT,Carl Hiaasen,1,General Knowledge
hoover dam,elizabeth mann,1,General Knowledge
Hop on Pop,Dr. Seuss,2,General Knowledge
Hop To It,Hunter,1,General Knowledge
Hope Through Heartsongs,Mattie J.T. Stepanek,1,Arts and Recreation
Hope was Here,Joan Bauer,4,General Knowledge
Hope was Here,"Joan, Bauer",1,General Knowledge
Hope Was Here,John Bauer,1,General Knowledge
Hope's Crossing,Joan Elizabeth Goodman,1,General Knowledge
Hopper Hunts for Spring,Marcus Pfister,1,General Knowledge
Hopper's Treetop Adventure,Marcus Pfister,1,General Knowledge
Horace and Morris but mostly Dolores,James Howe,1,General Knowledge
Horrible Harry and the Ant Invasion,Suzy Kline,1,General Knowledge
Horrible Harry and the Christmas Surprise,Suzy Kline,2,General Knowledge
Horrible Harry and the Dead Letters,Suzy Kline,1,General Knowledge
Horrible Harry and the Drop of Doom,Suzy Kline,1,General Knowledge
Horrible Harry and the Dungeon,Suzy Kline,4,General Knowledge
Horrible Harry and The Goog,Suzy Kline,3,General Knowledge
Horrible Harry And The Green Slime,Suzy Kline,1,General Knowledge
Horrible Harry and the Holidaze,Suzy Kline,1,General Knowledge
Horrible Harry and the Kickball Wedding,Suzy Kline,1,General Knowledge
Horrible Harry And The Locked Closet,Suzy Kline,3,General Knowledge
Horrible Harry and the Purple People,Suzy Kline,4,General Knowledge
Horrible Harry and the Triple Revenge,Suzy Kline,1,General Knowledge
Horrible Harry at Halloween,Suzy Kline,1,General Knowledge
Horrible Harry Goes to the Moon,Suzy Kline,1,General Knowledge
Horrible Harry in Room 2B,Suzy Kline,3,General Knowledge
Horrible Harry Moves Up To The Third Grade,Suzy Kline,1,General Knowledge
Horrible Harry Take the Cake,Suzy Kline,1,General Knowledge
Horrible Harry's Secret,Suzy Kline,1,General Knowledge
Horses,Kingfisher,1,General Knowledge
Horton hears a who!,Dr. Seuss,2,General Knowledge
Hot Potato: Mealtime Rhymes,Philip Henley,1,General Knowledge
Hottest Coldest highest Deepest,Steve Jenkins,1,General Knowledge
Houdini,Clinton Cox,1,General Knowledge
Hound of the Far Side,Gary Larson,1,General Knowledge
Houndsley and Catina,James Howe,1,General Knowledge
How Animals Hide,National Geographic,1,Science
How are you Peeling? Foods with Moods,Saxton Freymann & Joost Elffers,1,General Knowledge
How do Dinosaurs Eat their food,Jane Yolen,1,Science
How do Dinosaurs Get Well Soon,Jane Yolen,1,Science
How do Dinosaurs Say Good Night,Jane Yolen & Mark Teague,2,Science
How Do You Hug A Porcupine,Laurie Isop,3,General Knowledge
How Do You Make a Skeleton Laugh?,Jim Gallagher & Helene Hovanec,1,General Knowledge
How Georgie Radbourn Saved Baseball,David Shannon,1,Arts and Recreation
how i became a pirate,melinda long,1,General Knowledge
How I Captured a Dinosaur,Henry Schwartz,1,Science
How I got my Shrunken Head,R.L. Stine,1,General Knowledge
How I Met Archie,Anna Kenna,1,General Knowledge
How I Survived being a Girl,Wendelin Van Draanen,1,General Knowledge
How Many Climates Does One Island Need?,Yanitzia Canetti,3,General Knowledge
How Many Days to Americ?,Eve Bunting,3,General Knowledge
How Many Muscles Make Your Smile,Thomas Canavan,1,General Knowledge
How Many Seeds in a Pumpkin,Margaret McNamara,1,General Knowledge
how much is a million,david schwartz,1,General Knowledge
How Smudge Came,Can Gregory,3,General Knowledge
How Spider Stopped the Litterbugs,Robert Kraus,1,General Knowledge
How the Grinch Stole Christmas!,Dr. Seuss,2,General Knowledge
How the Stars Fell into the Sky - A Navajo Legend,Jerrie Dughton,1,General Knowledge
How Things Work,Britannica,1,General Knowledge
How to Build Cars,Rita Storey,1,General Knowledge
How to Catch a Monster,Adam Wallace,2,General Knowledge
How to Disappear Completely and Never be Found,Sara Nickerson,1,General Knowledge
how to do homework without throwin up,trevor romain,1,General Knowledge
How to Draw Cats,USBORNE,1,General Knowledge
How to Eat Fried Worms,Thomas Rockwell,3,General Knowledge
How to get rid of Bad Dreams,"Nancy Hazbry, Roy Condy",1,General Knowledge
How to Hide an Octopus,Ruth Heller,1,General Knowledge
How to Kill A Monster,R.L. Stine,1,General Knowledge
how to make a mummy talk,james m deem,1,General Knowledge
How to Survive Being Lost at Sea,Tim O'Shei,1,General Knowledge
How To Survive in the Wilderness,Tim O'Shei,1,General Knowledge
How to survive on a deserted island,Tim O'Shei,1,General Knowledge
How to Train Your Dragon Mix & Match,Dreamworks,1,General Knowledge
How to Write your Life Story,Ralph Fletcher,2,Literature
How Tough Was a Tyrannosaurus,Paul C. Sereno,1,General Knowledge
How Tía Lola Came To Stay,Julia Avarez,1,General Knowledge
How We Crossed the West,Rosalyn Schanzer,1,General Knowledge
How willy got his wheels,Deborah turner and Diana Mohler,1,General Knowledge
How's the weather,Melvin and gilds berger,1,Science
Hug,Jez Alborough,1,General Knowledge
huge harold,bill peet,1,General Knowledge
Huggly's Thanksgiving Parade,Tedd Arnold,1,General Knowledge
Humphrey The Lost Whale,Wendy Tokuda and Richard Hall,1,General Knowledge
Hunt for Hector,Anthony Tallarico,1,General Knowledge
Hurray foor the Lord's Army,Mary Manz Simon,1,General Knowledge
hurricanes tsunamis and other natural disasters,andrew langley,1,General Knowledge
"Hurry Up, Franklin",Paulette Bourgeois,1,General Knowledge
Hush Little Baby,Sylvia Long,1,General Knowledge
i aint gonna paint no more,karen beaumont,1,General Knowledge
I Am America,Charles R. Smith Jr.,1,General Knowledge
I am david,anne holm,1,General Knowledge
i am fifteen and i dont want to die,christine arnothy,1,General Knowledge
I Am The Mummy Heb Neferet,Eve Bunting,1,General Knowledge
I Can Read with my Eyes Shut!,Dr. Seuss,1,General Knowledge
I Can Talk with God,Helen Caswell,1,Religion
I Come From India,Valerie J. Weber,1,General Knowledge
I don't want to take a bath!,Julie Sykes & Tim Warnes,1,General Knowledge
I Had a Hippopotamus,Hector Viveros Lee,3,General Knowledge
I Hate English!,Ellen Levine,3,General Knowledge
I have a Dream,Margaret Davidson,1,General Knowledge
I Have a New Baby Brother,Kimberlee Graves,1,General Knowledge
I Have Heard of a Land,Joyce Carol Thomas,1,General Knowledge
I Have to Go!,Robert Munsch,2,General Knowledge
I Heard Said the Bird,Polly Berrien Berends,1,General Knowledge
I Like it here at School,Jack Prelutsky,1,General Knowledge
i love farm animals,lisa regan,1,Science
